,status_msg,order_id,status,symbol,amount,trade_amount,trade_price,order_type,direction,offset_flag,price,price_type,datetime,secondary_order_id
114,,1082146556,,300854.SZ,700,200,12.62,23,48,48,12.62,50,20241016 10:59:11,1082146556
115,,1082146558,,123054.SZ,60,0,0.0,24,48,49,143.696,50,20241016 10:59:13,1082146558
116,,1082146562,,123135.SZ,70,70,131.538,24,48,49,131.538,50,20241016 10:59:14,1082146562
117,,1082146563,,300417.SZ,9000,9000,10.26,23,48,48,10.26,50,20241016 10:59:14,1082146563
118,,1082146564,,002853.SZ,12000,12000,8.06,23,48,48,8.06,50,20241016 10:59:14,1082146564
119,,1082146565,,000638.SZ,22000,22000,4.41,23,48,48,4.41,50,20241016 10:59:14,1082146565
120,,1082146566,,001211.SZ,6000,6000,16.46,23,48,48,16.46,50,20241016 10:59:14,1082146566
121,,1082146567,,300321.SZ,6000,6000,16.54,23,48,48,16.54,50,20241016 10:59:14,1082146567
122,,1082146568,,300877.SZ,700,200,13.09,23,48,48,13.09,50,20241016 10:59:14,1082146568
123,,1082146569,,300899.SZ,400,0,0.0,23,48,48,20.98,50,20241016 10:59:15,1082146569
124,,1082146571,,301010.SZ,700,200,13.66,23,48,48,13.66,50,20241016 10:59:15,1082146571
125,,1082146572,,300854.SZ,700,200,12.62,23,48,48,12.62,50,20241016 10:59:16,1082146572
126,,1082146576,,123054.SZ,60,0,0.0,24,48,49,143.696,50,20241016 10:59:17,1082146576
127,,1082146577,,123135.SZ,70,70,131.538,24,48,49,131.538,50,20241016 10:59:18,1082146577
128,其他错误,1082146579,其他错误,300417.SZ,900,0,0.0,23,48,48,10.26,50,20241016 10:59:19,1082146579
129,,1082146580,,300877.SZ,700,200,13.09,23,48,48,13.09,50,20241016 10:59:18,1082146580
130,,1082146581,,002853.SZ,1200,1200,8.06,23,48,48,8.06,50,20241016 10:59:18,1082146581
131,,1082146583,,001211.SZ,600,600,16.46,23,48,48,16.46,50,20241016 10:59:19,1082146583
132,,1082146582,,000638.SZ,2200,2200,4.41,23,48,48,4.41,50,20241016 10:59:19,1082146582
133,,1082146586,,301010.SZ,700,200,13.66,23,48,48,13.66,50,20241016 10:59:19,1082146586
134,,1082146587,,300854.SZ,700,200,12.62,23,48,48,12.62,50,20241016 10:59:19,1082146587
135,,1082146585,,300899.SZ,400,0,0.0,23,48,48,20.98,50,20241016 10:59:19,1082146585
136,,1082146584,,300321.SZ,600,600,16.54,23,48,48,16.54,50,20241016 10:59:19,1082146584
137,,1082146588,,123054.SZ,60,0,0.0,24,48,49,143.696,50,20241016 10:59:21,1082146588
138,,1082146590,,123135.SZ,70,70,131.538,24,48,49,131.538,50,20241016 10:59:22,1082146590
139,,1082146592,,300877.SZ,700,200,13.09,23,48,48,13.09,50,20241016 10:59:22,1082146592
140,其他错误,1082146591,其他错误,300417.SZ,900,0,0.0,23,48,48,10.26,50,20241016 10:59:23,1082146591
141,,1082146594,,000638.SZ,2200,2200,4.41,23,48,48,4.41,50,20241016 10:59:23,1082146594
142,,1082146595,,001211.SZ,600,600,16.46,23,48,48,16.46,50,20241016 10:59:22,1082146595
143,,1082146597,,300899.SZ,400,0,0.0,23,48,48,20.98,50,20241016 10:59:22,1082146597
144,,1082146596,,300321.SZ,600,600,16.54,23,48,48,16.54,50,20241016 10:59:22,1082146596
145,,1082146598,,301010.SZ,700,200,13.66,23,48,48,13.66,50,20241016 10:59:22,1082146598
146,,1082146593,,002853.SZ,1200,1200,8.06,23,48,48,8.06,50,20241016 10:59:23,1082146593
147,,1082146599,,300854.SZ,700,200,12.62,23,48,48,12.62,50,20241016 10:59:23,1082146599
148,,1082146601,,123054.SZ,60,0,0.0,24,48,49,143.696,50,20241016 10:59:26,1082146601
149,,1082146603,,123135.SZ,70,70,131.538,24,48,49,131.538,50,20241016 10:59:29,1082146603
150,其他错误,1082146604,其他错误,300417.SZ,900,0,0.0,23,48,48,10.26,50,20241016 10:59:30,1082146604
151,,1082146605,,300877.SZ,700,200,13.09,23,48,48,13.09,50,20241016 10:59:29,1082146605
152,,1082146608,,000638.SZ,2200,2200,4.41,23,48,48,4.41,50,20241016 10:59:31,1082146608
153,,1082146610,,300321.SZ,600,600,16.54,23,48,48,16.54,50,20241016 10:59:32,1082146610
154,,1082146609,,001211.SZ,600,600,16.46,23,48,48,16.46,50,20241016 10:59:32,1082146609
155,,1082146606,,002853.SZ,1200,1200,8.06,23,48,48,8.06,50,20241016 10:59:32,1082146606
156,,1082146611,,300899.SZ,400,0,0.0,23,48,48,20.98,50,20241016 10:59:31,1082146611
157,,1082146612,,301010.SZ,700,200,13.66,23,48,48,13.66,50,20241016 10:59:31,1082146612
158,,1082147321,,123135.SZ,70,70,131.602,24,48,49,131.602,50,20241016 11:06:02,1082147321
159,,1082147320,,123054.SZ,60,0,0.0,24,48,49,143.885,50,20241016 11:06:02,1082147320
160,,1082147325,,300899.SZ,4000,0,0.0,23,48,48,20.98,50,20241016 11:06:03,1082147325
161,,1082147329,,002853.SZ,1200,1200,8.06,23,48,48,8.06,50,20241016 11:06:05,1082147329
162,其他错误,1082147328,其他错误,300417.SZ,900,0,0.0,23,48,48,10.27,50,20241016 11:06:04,1082147328
163,,1082147326,,300886.SZ,400,0,0.0,23,48,48,20.39,50,20241016 11:06:04,1082147326
164,,1082147330,,000638.SZ,2200,2200,4.44,23,48,48,4.44,50,20241016 11:06:04,1082147330
165,,1082147332,,001211.SZ,600,600,16.5,23,48,48,16.5,50,20241016 11:06:04,1082147332
166,,1082147333,,300854.SZ,700,200,12.62,23,48,48,12.62,50,20241016 11:06:05,1082147333
167,,1082147335,,123054.SZ,80,80,143.885,24,48,49,143.885,50,20241016 11:06:07,1082147335
168,,1082147336,,123135.SZ,70,70,131.602,24,48,49,131.602,50,20241016 11:06:07,1082147336
169,,1082147339,,300886.SZ,400,0,0.0,23,48,48,20.39,50,20241016 11:06:07,1082147339
170,其他错误,1082147341,其他错误,300417.SZ,900,0,0.0,23,48,48,10.27,50,20241016 11:06:07,1082147341
171,,1082147342,,300899.SZ,400,0,0.0,23,48,48,20.98,50,20241016 11:06:07,1082147342
172,,1082147343,,002853.SZ,1200,1200,8.06,23,48,48,8.06,50,20241016 11:06:07,1082147343
173,,1082147344,,000638.SZ,2200,2200,4.44,23,48,48,4.44,50,20241016 11:06:08,1082147344
174,,1082147345,,001211.SZ,600,600,16.5,23,48,48,16.5,50,20241016 11:06:08,1082147345
175,,1082147346,,300854.SZ,700,200,12.62,23,48,48,12.62,50,20241016 11:06:08,1082147346
176,,1082147362,,123052.SZ,70,70,128.81,24,48,49,128.81,50,20241016 11:06:44,1082147362
177,,1082147364,,300899.SZ,4000,0,0.0,23,48,48,20.98,50,20241016 11:06:44,1082147364
178,,1082147365,,300886.SZ,400,0,0.0,23,48,48,20.39,50,20241016 11:06:44,1082147365
179,,1082147369,,002853.SZ,1200,1200,8.06,23,48,48,8.06,50,20241016 11:06:46,1082147369
180,其他错误,1082147368,其他错误,300417.SZ,900,0,0.0,23,48,48,10.27,50,20241016 11:06:47,1082147368
181,,1082147370,,300854.SZ,700,200,12.61,23,48,48,12.61,50,20241016 11:06:46,1082147370
182,,1082147371,,001211.SZ,600,600,16.5,23,48,48,16.5,50,20241016 11:06:46,1082147371
183,,1082147372,,123052.SZ,70,70,128.81,24,48,49,128.81,50,20241016 11:06:48,1082147372
184,,1082147375,,300886.SZ,400,0,0.0,23,48,48,20.39,50,20241016 11:06:49,1082147375
185,其他错误,1082147380,其他错误,300417.SZ,900,0,0.0,23,48,48,10.27,50,20241016 11:06:59,1082147380
186,,1082147382,,300899.SZ,400,0,0.0,23,48,48,20.98,50,20241016 11:06:58,1082147382
187,,1082147384,,000638.SZ,2200,2200,4.43,23,48,48,4.43,50,20241016 11:06:58,1082147384
188,,1082147385,,002853.SZ,1200,1200,8.06,23,48,48,8.06,50,20241016 11:06:59,1082147385
189,,1082147386,,001211.SZ,600,600,16.5,23,48,48,16.5,50,20241016 11:06:59,1082147386
190,,1082147388,,123052.SZ,70,70,128.767,24,48,49,128.767,50,20241016 11:07:00,1082147388
191,,1082147535,,300877.SZ,700,200,13.15,23,48,48,13.15,50,20241016 11:07:01,1082147535
192,,1082147532,,300886.SZ,400,0,0.0,23,48,48,20.39,50,20241016 11:07:01,1082147532
193,其他错误,1082147539,其他错误,300417.SZ,900,0,0.0,23,48,48,10.27,50,20241016 11:07:03,1082147539
194,,1082147541,,300899.SZ,400,0,0.0,23,48,48,20.98,50,20241016 11:07:03,1082147541
195,,1082147542,,000638.SZ,2200,2200,4.43,23,48,48,4.43,50,20241016 11:07:03,1082147542
196,,1082147543,,300854.SZ,700,200,12.61,23,48,48,12.61,50,20241016 11:07:03,1082147543
197,,1082147544,,002853.SZ,1200,1200,8.06,23,48,48,8.06,50,20241016 11:07:05,1082147544
198,,1082147545,,001211.SZ,600,600,16.52,23,48,48,16.52,50,20241016 11:07:04,1082147545
199,,1082147548,,123052.SZ,70,70,128.767,24,48,49,128.767,50,20241016 11:07:06,1082147548
200,,1082147551,,300886.SZ,400,0,0.0,23,48,48,20.39,50,20241016 11:07:06,1082147551
201,,1082147555,,300877.SZ,700,200,13.15,23,48,48,13.15,50,20241016 11:07:06,1082147555
202,其他错误,1082147558,其他错误,300417.SZ,900,0,0.0,23,48,48,10.27,50,20241016 11:07:07,1082147558
203,,1082147562,,000638.SZ,2200,2200,4.43,23,48,48,4.43,50,20241016 11:07:07,1082147562
204,,1082147560,,300899.SZ,400,0,0.0,23,48,48,20.98,50,20241016 11:07:07,1082147560
205,,1082147564,,300854.SZ,700,200,12.61,23,48,48,12.61,50,20241016 11:07:07,1082147564
206,,1082147565,,002853.SZ,1200,1200,8.06,23,48,48,8.06,50,20241016 11:07:07,1082147565
207,,1082147566,,001211.SZ,600,600,16.52,23,48,48,16.52,50,20241016 11:07:08,1082147566
208,,1082147571,,123052.SZ,70,70,128.767,24,48,49,128.767,50,20241016 11:07:10,1082147571
209,,1082147575,,300877.SZ,700,200,13.15,23,48,48,13.15,50,20241016 11:07:09,1082147575
210,,1082147573,,300886.SZ,400,0,0.0,23,48,48,20.39,50,20241016 11:07:09,1082147573
211,其他错误,1082147577,其他错误,300417.SZ,900,0,0.0,23,48,48,10.27,50,20241016 11:07:10,1082147577
212,,1082147581,,300854.SZ,700,200,12.61,23,48,48,12.61,50,20241016 11:07:10,1082147581
213,,1082147580,,000638.SZ,2200,2200,4.43,23,48,48,4.43,50,20241016 11:07:11,1082147580
214,,1082147578,,300899.SZ,400,0,0.0,23,48,48,20.98,50,20241016 11:07:10,1082147578
215,,1082147582,,002853.SZ,1200,1200,8.06,23,48,48,8.06,50,20241016 11:07:11,1082147582
216,,1082147584,,001211.SZ,600,600,16.52,23,48,48,16.52,50,20241016 11:07:14,1082147584
217,,1082147586,,123052.SZ,70,70,128.767,24,48,49,128.767,50,20241016 11:07:15,1082147586
218,,1082147587,,123135.SZ,70,70,131.621,24,48,49,131.621,50,20241016 11:07:15,1082147587
219,,1082147589,,300886.SZ,400,0,0.0,23,48,48,20.39,50,20241016 11:07:15,1082147589
220,其他错误,1082147593,其他错误,300417.SZ,900,0,0.0,23,48,48,10.27,50,20241016 11:07:17,1082147593
221,,1082147594,,300899.SZ,400,0,0.0,23,48,48,20.98,50,20241016 11:07:16,1082147594
222,,1082147591,,300877.SZ,700,200,13.14,23,48,48,13.14,50,20241016 11:07:16,1082147591
223,,1082147598,,002853.SZ,1200,1200,8.06,23,48,48,8.06,50,20241016 11:07:18,1082147598
224,,1082147596,,000638.SZ,2200,2200,4.43,23,48,48,4.43,50,20241016 11:07:18,1082147596
225,,1082147597,,300854.SZ,700,200,12.61,23,48,48,12.61,50,20241016 11:07:17,1082147597
226,,1082147599,,001211.SZ,600,600,16.52,23,48,48,16.52,50,20241016 11:07:17,1082147599
227,,1082147601,,123052.SZ,70,70,128.767,24,48,49,128.767,50,20241016 11:07:19,1082147601
228,,1082147602,,123135.SZ,70,70,131.621,24,48,49,131.621,50,20241016 11:07:20,1082147602
229,,1082147603,,300886.SZ,400,0,0.0,23,48,48,20.39,50,20241016 11:07:19,1082147603
230,,1082147607,,300877.SZ,700,200,13.14,23,48,48,13.14,50,20241016 11:07:19,1082147607
231,其他错误,1082147609,其他错误,300417.SZ,900,0,0.0,23,48,48,10.27,50,20241016 11:07:19,1082147609
232,,1082147610,,300899.SZ,400,0,0.0,23,48,48,20.98,50,20241016 11:07:20,1082147610
233,,1082147613,,000638.SZ,2200,2200,4.43,23,48,48,4.43,50,20241016 11:07:21,1082147613
234,,1082147616,,001211.SZ,600,600,16.52,23,48,48,16.52,50,20241016 11:07:22,1082147616
235,,1082147615,,002853.SZ,1200,1200,8.06,23,48,48,8.06,50,20241016 11:07:21,1082147615
236,,1082147614,,300854.SZ,700,200,12.61,23,48,48,12.61,50,20241016 11:07:21,1082147614
237,,1082147617,,123052.SZ,70,70,128.768,24,48,49,128.768,50,20241016 11:07:23,1082147617
238,,1082147618,,123135.SZ,70,70,131.621,24,48,49,131.621,50,20241016 11:07:23,1082147618
239,,1082147620,,300886.SZ,400,0,0.0,23,48,48,20.4,50,20241016 11:07:24,1082147620
240,其他错误,1082147623,其他错误,300417.SZ,900,0,0.0,23,48,48,10.26,50,20241016 11:07:25,1082147623
241,,1082147624,,300899.SZ,400,0,0.0,23,48,48,20.98,50,20241016 11:07:25,1082147624
242,,1082147626,,300854.SZ,700,200,12.61,23,48,48,12.61,50,20241016 11:07:25,1082147626
243,,1082147628,,000638.SZ,2200,2200,4.43,23,48,48,4.43,50,20241016 11:07:26,1082147628
244,,1082147630,,001211.SZ,600,600,16.52,23,48,48,16.52,50,20241016 11:07:26,1082147630
245,,1082147629,,002853.SZ,1200,1200,8.06,23,48,48,8.06,50,20241016 11:07:26,1082147629
246,,1082147632,,123052.SZ,70,70,128.768,24,48,49,128.768,50,20241016 11:07:29,1082147632
247,,1082147633,,123135.SZ,70,70,131.621,24,48,49,131.621,50,20241016 11:07:28,1082147633
248,,1082147634,,300886.SZ,400,0,0.0,23,48,48,20.4,50,20241016 11:07:28,1082147634
249,其他错误,1082147637,其他错误,300417.SZ,900,0,0.0,23,48,48,10.26,50,20241016 11:07:29,1082147637
250,,1082147638,,300899.SZ,400,0,0.0,23,48,48,20.98,50,20241016 11:07:29,1082147638
251,,1082147640,,300854.SZ,700,200,12.61,23,48,48,12.61,50,20241016 11:07:29,1082147640
252,,1082147642,,000638.SZ,2200,2200,4.43,23,48,48,4.43,50,20241016 11:07:31,1082147642
253,,1082147643,,002853.SZ,1200,1200,8.06,23,48,48,8.06,50,20241016 11:07:30,1082147643
254,,1082147644,,001211.SZ,600,600,16.52,23,48,48,16.52,50,20241016 11:07:30,1082147644
255,,1082147645,,123052.SZ,70,70,128.767,24,48,49,128.767,50,20241016 11:07:32,1082147645
256,,1082147646,,300886.SZ,400,0,0.0,23,48,48,20.4,50,20241016 11:07:33,1082147646
257,其他错误,1082147651,其他错误,300417.SZ,900,0,0.0,23,48,48,10.26,50,20241016 11:07:34,1082147651
258,,1082147650,,300899.SZ,400,0,0.0,23,48,48,20.98,50,20241016 11:07:34,1082147650
259,,1082147653,,300854.SZ,700,200,12.61,23,48,48,12.61,50,20241016 11:07:34,1082147653
260,,1082147654,,000638.SZ,2200,2200,4.43,23,48,48,4.43,50,20241016 11:07:35,1082147654
261,,1082147655,,002853.SZ,1200,1200,8.06,23,48,48,8.06,50,20241016 11:07:35,1082147655
262,,1082147656,,001211.SZ,600,600,16.52,23,48,48,16.52,50,20241016 11:07:34,1082147656
263,,1082147658,,123052.SZ,70,70,128.767,24,48,49,128.767,50,20241016 11:07:38,1082147658
264,,1082147659,,300886.SZ,400,0,0.0,23,48,48,20.4,50,20241016 11:07:38,1082147659
265,,1082147660,,300321.SZ,600,600,16.55,23,48,48,16.55,50,20241016 11:07:38,1082147660
266,其他错误,1082147665,其他错误,300417.SZ,900,0,0.0,23,48,48,10.26,50,20241016 11:07:39,1082147665
267,,1082147664,,300899.SZ,400,0,0.0,23,48,48,20.98,50,20241016 11:07:39,1082147664
268,,1082147667,,300854.SZ,700,200,12.61,23,48,48,12.61,50,20241016 11:07:40,1082147667
