,交易日,交易所代码,ETF交易代码,ETF申赎代码,最小申购赎回单位份数,最大现金替代比例,预估现金差额,前一交易日现金差额,前一交易日基金单位净值,前一交易日申赎基准单位净值,当日申购赎回基准单位的红利金额,ETF申赎类型,ETF证券名称
952,20371207,2,159938,159938,2500000,0.4,26179.05,25750.05,0.6245,1561172.05,0.0,0,医药卫生ETF
953,20371207,2,159939,159939,4000000,0.4,15794.05,15794.05,0.5667,2266821.05,0.0,0,信息技术ETF
954,20371207,2,159940,159940,1000000,0.4,-7769.94,-8364.94,1.1266,1126605.06,0.0,0,金融地产ETF
955,20371207,2,159941,159941,1300000,1.0,-29107.27,-29107.27,1.0978,1427122.55,0.0,0,纳指ETF
956,20371207,2,159943,159943,3000000,0.4,-44403.62,-44433.62,1.0685,3205492.38,0.0,0,深证成指ETF
957,20371207,2,159944,159944,2000000,0.4,-6476.37,-5601.41,0.9164,1832870.0,0.0,0,材料ETF
958,20371207,2,159945,159945,500000,0.4,15000.66,15000.66,1.1601,580047.66,0.0,0,能源ETF基金
959,20371207,2,159948,159948,1000000,1.0,-4093.08,-4143.08,2.2728,2272831.92,0.0,0,创业板ETF南方
960,20371207,2,159949,159949,1000000,0.42,-16745.69,-16745.69,0.9305,930472.31,0.0,0,创业板50ETF
961,20371207,2,159952,159952,1700000,1.0,7842.32,7792.32,1.2501,2125204.32,0.0,0,创业板ETF广发
962,20371207,2,159954,159954,500000,1.0,-297.56,-353.88,0.8213,410669.72,0.0,0,H股ETF
963,20371207,2,159956,159956,1000000,0.85,-41922.67,-42177.67,1.305,1304965.33,0.0,0,创业板ETF建信
964,20371207,2,159957,159957,1000000,0.35,6417.14,7126.14,1.3489,1348871.14,0.0,0,创业板100ETF华夏
965,20371207,2,159958,159958,700000,0.35,15611.65,15611.65,1.2408,868538.65,0.0,0,创业板ETF工银
966,20371207,2,159959,159959,1000000,0.85,5004.16,5332.16,1.4439,1443916.16,0.0,0,央企ETF
967,20371207,2,159960,159960,1000000,1.0,51.15,-3317.01,0.7402,740196.59,0.0,0,恒生中国企业ETF
968,20371207,2,159961,159961,1000000,0.4,1150.38,316.38,1.6291,1629136.38,0.0,0,深100ETF方正富邦
969,20371207,2,159964,159964,2000000,1.0,-19227.21,-20855.21,1.3381,2676107.79,0.0,0,创业板ETF平安
970,20371207,2,159966,159966,3300000,0.35,16247.02,17603.02,0.4623,1525473.02,0.0,0,创业板价值ETF
971,20371207,2,159967,159967,3400000,0.35,4375.44,2083.44,0.4699,1597790.44,0.0,0,创业板成长ETF
972,20371207,2,159968,159968,400000,0.5,128.44,2107.44,6.6993,2679717.44,0.0,0,中证500ETF博时
973,20371207,2,159969,159969,1000000,0.5,-16271.34,-15572.34,1.1591,1159111.66,0.0,0,深100ETF银华
974,20371207,2,159970,159970,300000,0.2,3436.9,4626.9,4.6258,1387746.9,0.0,0,深100ETF工银
975,20371207,2,159971,159971,2000000,0.5,-470.64,-520.64,1.4365,2872907.36,0.0,0,创业板ETF富国
976,20371207,2,159972,159972,10000,1.0,-1347.95,-1272.04,113.2527,1132526.65,0.0,0,5年地债ETF
977,20371207,2,159973,159973,1000000,0.5,-4566.44,-4566.44,1.3036,1303618.56,0.0,0,民企ETF
978,20371207,2,159974,159974,1000000,0.5,-4594.49,-4360.49,1.5839,1583890.51,0.0,0,央企创新ETF
979,20371207,2,159975,159975,2500000,0.4,5094.28,5094.28,0.5588,1396876.28,0.0,0,深100ETF招商
980,20371207,2,159976,159976,1000000,0.8,17470.75,18121.82,1.0751,1075086.14,0.0,0,湾创ETF
981,20371207,2,159977,159977,1000000,1.0,-9891.85,-9891.85,2.1468,2146820.15,0.0,0,创业板ETF天弘
982,20371207,2,159980,159980,1000000,1.0,124661.11,124486.11,1.7059,1705851.11,0.0,0,有色ETF
983,20371207,2,159981,159981,1000000,1.0,-5301.01,-5301.01,1.4576,1457568.99,0.0,0,能源化工ETF
984,20371207,2,159982,159982,2000000,0.5,11438.03,10767.23,1.3741,2748189.5,0.0,0,中证500ETF鹏华
985,20371207,2,159985,159985,1200000,1.0,6294.43,6294.43,1.9033,2284014.43,0.0,0,豆粕ETF
986,20371207,2,159991,159991,2800000,0.4,4194.0,4194.0,0.453,1268534.0,0.0,0,创大盘ETF
987,20371207,2,159992,159992,600000,0.5,1451.62,1451.62,0.7116,426944.62,0.0,0,创新药ETF
988,20371207,2,159993,159993,500000,0.5,557.33,1173.33,1.1445,572225.33,0.0,0,证券ETF龙头
989,20371207,2,159994,159994,1000000,0.5,21163.32,21163.32,0.905,904971.32,0.0,0,5GETF
990,20371207,2,159995,159995,1400000,0.5,7741.24,7308.31,1.0736,1502987.36,0.0,0,芯片ETF
991,20371207,2,159996,159996,2000000,0.8,-1077.05,-1186.05,1.2665,2532979.95,0.0,0,家电ETF
992,20371207,2,159997,159997,1000000,0.8,8491.53,8491.53,1.0081,1008095.53,0.0,0,电子ETF
993,20371207,2,159998,159998,1200000,0.8,-7100.54,-7100.54,0.7758,930925.46,0.0,0,计算机ETF
