,日期,涨跌幅,上涨比例
0,20231109,0.9941532591948733,0.2720620842572062
0,20231110,0.9983770923888052,0.4033259423503326
0,20231113,1.0103261125090326,0.7463976945244957
0,20231114,1.0044744212398402,0.5353580137441809
0,20231115,1.0063381710725001,0.6319290465631929
0,20231116,0.9935511480571783,0.1887336438234642
0,20231117,1.0071291597717498,0.690175205145265
0,20231120,1.0097333787836096,0.7326535136333407
0,20231121,0.9958597500776845,0.3128739197872812
0,20231122,0.9913390717603716,0.1963652482269504
0,20231123,1.0091448067304332,0.8052293374695325
0,20231124,0.9889677278215476,0.1905606027033016
0,20231127,0.9990897275804477,0.4310077519379845
0,20231128,1.007901653314179,0.7173864894795128
0,20231129,0.9940863726794029,0.2307351638618246
0,20231130,0.9950858489689289,0.301218161683278
0,20231201,1.006500796933838,0.5914526129317981
