,id,CollegeCode,MajorCode,MajorName,PlanNature,PlannedEnrollmentCount,MajorLowestAdmissionScore,MajorRegisteredApplicantsCount,DurationOfStudy,TuitionFee,LocationOfSchool,MajorNotes,ranking
89,122,900,01,工科试验班（智能化制造类）,非定向,35,516,35,4,7000,校本部,包含专业：机械设计制造及其自动化、材料成型及控制工程、工业设计、过程装备与控制工程、车辆工程、材料科学与工程、能源与动力工程、新能源科学与工程、储能科学与工程、机器人工程、土木工程、建筑环境与能源应用工程、环境工程、生物医学工程、康复工程、食品科学与工程、食品质量与安全、管理科学。,10915.0
90,125,E24,01,工科试验班（电气与自动化）,非定向,10,579,8,4,7000,威海校区,包含专业：自动化、电气工程及其自动化、智能材料与结构,3129.0
91,128,310,01,人工智能（卓越人才试点班）,非定向,1,639,3,4,7700,校本部,,435.0
92,129,192,01,化学工程与工艺,非定向,4,512,4,4,6380,江浦校区,,11556.0
93,130,083,01,林学类,非定向,5,522,5,4,3000,校本部,包含专业：林学、森林保护,9977.0
94,131,J23,01,临床医学（八年制本博连读）,非定向,2,667,2,8,8140,医学院,国家一流本科、卓越医学创新人才计划；含美国等国家临床实践交流项目,84.0
95,132,K06,01,能源化学工程（能源、资源与生物化工新工科实验班）,非定向,9,560,9,4,6240,盘锦校区,含能源化学工程、应用化学（工学）、资源循环科学与工程、化学工程与工业生物工程。非英语语种考生慎重报考。不招色盲、色弱考生,4887.0
96,136,452,01,建筑环境与能源应用工程,非定向,2,459,2,4,6480,主校区,,22507.0
97,137,233,01,电子信息类（通信与信息类）,非定向,3,558,5,4,5600,校本部,包含专业：通信工程、电子信息工程、信息工程,5099.0
98,138,B18,01,土木类,非定向,6,459,5,4,6250,大一大二科学城校区、后续学年南岸校区,包含专业：土木工程、道路桥梁与渡河工程,22507.0
99,139,132,01,电气工程及其自动化,非定向,7,569,18,4,5940,船营校区,,3965.0
100,140,381,01,会计学,非定向,2,515,5,4,5280,净月校区,,11103.0
101,141,232,01,通信工程,非定向,6,564,6,4,6380,仙林校区,,4469.0
102,142,243,01,理科试验班类（詹天佑本博直升试点班）,非定向,10,579,11,4,5500,北京市,詹天佑“3+5”本博贯通拔尖创新人才培养特区，本科阶段类内专业任选。只招有该专业志愿考生。包含专业：通信工程、轨道交通信号与控制、计算机科学与技术、人工智能、信息安全、经济学、物流管理、交通运输、交通工程、物流工程、系统科学与工程、土木工程、机械工程、电气工程及其自动化、软件工程、应用物理学、工程力学、数学与应用数学,3129.0
103,143,278,01,道路桥梁与渡河工程,非定向,5,559,6,4,6600,北校区,,5000.0
104,144,410,01,海洋工程类,非定向,5,549,4,4,5500,校本部,包含专业：船舶与海洋工程、港口航道与海岸工程、海洋机器人,6181.0
105,146,070,01,农学,非定向,3,557,4,4,2750,江苏省南京市,,5202.0
106,148,244,02,机械类,非定向,4,505,5,4,4900,龙山校区,包含专业：机械设计制造及其自动化、机械电子工程、车辆工程、智能制造工程、测控技术与仪器,12776.0
107,149,450,02,智能采矿工程,非定向,2,462,3,4,5200,阜新校区中华路校园,只招男生,21823.0
