,id,CollegeCode,MajorCode,MajorName,PlanNature,PlannedEnrollmentCount,MajorLowestAdmissionScore,MajorRegisteredApplicantsCount,DurationOfStudy,TuitionFee,LocationOfSchool,MajorNotes,ranking
123,430,378,04,汉语国际教育,非定向,2,501,2,4,5460,厦门校区,大一入住龙舟池校区,3768.0
124,436,942,04,外交学,非定向,1,507,2,4,5000,长安校区,,3321.0
125,438,368,04,商务英语（国际商业管理）,非定向,1,524,1,4,5000,校本部,英语单科成绩不低于90分。考生双耳听力范围均不低于3米，不能有口吃等言语障碍。,2250.0
126,448,564,04,中国语言文学类,非定向,4,508,6,4,4400,天津市,学校各专业的公共外语课程均为英语，小语种考生慎重填报。包含专业：汉语言、汉语国际教育,3251.0
127,453,M32,04,哲学,非定向,2,546,2,4,5000,主校区,,1254.0
128,454,026,04,财政学类,非定向,1,561,2,4,5720,校本部,学生大学二年级依据个人意愿、学习成绩、综合表现和学校相关规定在所录取专业类内确定专业。包含专业：财政学、税收学,797.0
129,455,281,04,国际政治,非定向,1,542,1,4,5000,校本部,,1399.0
130,459,309,04,社会科学试验班,非定向,4,598,6,4,6500,上海,含双学位培养项目：德语-政治学与行政学，法学-英语，土木工程-法学。可参加拔尖人才培养特区选拔。包含专业：法学、政治学与行政学,154.0
131,460,754,04,金融学,非定向,13,487,14,4,4400,西校区,,4902.0
132,465,018,04,经济学类,非定向,4,519,1,4,5000,校本部,包含专业：经济学、金融学、金融工程、国际经济与贸易,2539.0
133,466,074,04,英语,非定向,2,544,2,4,5500,校本部,,1321.0
134,467,427,04,知识产权,非定向,2,514,2,4,4200,校本部,,2857.0
135,472,F98,04,外国语言文学类（中外合作办学）,非定向,2,525,1,4,88000,,专业课全英文授课，详见招生简章。包含专业：英语(中外合作办学)、翻译(中外合作办学),2184.0
136,474,017,04,法学,非定向,17,575,19,4,5600,渝北校区,,472.0
137,478,711,04,旅游管理,非定向,2,506,1,4,5175,坞城校区,,3407.0
138,479,006,04,金融学类,非定向,7,489,7,4,4400,航空港校区,包含专业：金融学、金融工程,4718.0
139,492,313,04,法学类,非定向,2,579,2,4,5100,威海校区,包含专业：法学、政治学与行政学、社会工作,403.0
140,494,753,04,财务管理,非定向,31,481,48,4,4400,新城校区,,5476.0
141,502,630,05,历史学类,非定向,2,501,3,4,5060,五四路校区,包含专业：历史学、世界史,3768.0
142,504,556,05,金融学类,非定向,1,539,1,4,4400,校本部,包含专业：金融学、金融学(国际金融)、金融工程、保险学、投资学、信用管理,1502.0
143,505,274,05,戏剧学,非定向,1,518,1,4,13000,华山路校区,,2604.0
144,507,286,05,工商管理类,非定向,4,615,4,4,5000,北京市,无时点专业选择；入校后可参与选拔项目：中意美三学位管理学本科项目，工商管理-法学、营销管理-数据科学2个双主学位项目；培养专业含会计学（智能会计方向）；国际交流：含英国华威大学、荷兰阿姆斯特丹大学、西班牙IE商学院、香港城市大学等校免学费交流项目。包含专业：工商管理、财务管理、会计学、市场营销、管理科学(商业数据分析方向)、贸易经济,61.0
145,510,D11,05,法学,非定向,3,531,4,4,5460,旗山校区,,1864.0
146,519,298,05,法学类,非定向,1,602,2,4,5460,思明校区,包含专业：法学,129.0
147,523,301,05,金融学,非定向,1,567,1,4,5500,长沙,可分流至：金融学、金融学（金融工程）,634.0
148,526,605,05,中国语言文学类,非定向,2,563,3,4,4400,主校区,包含专业：汉语言文学、汉语国际教育,737.0
149,528,925,05,汉语言文学,非定向,1,543,2,4,4100,海甸校区,一年级在城西基础教学部,1358.0
150,537,007,05,历史学类,非定向,3,523,3,4,4500,校本部,包含专业：历史学、文物与博物馆学,2319.0
151,538,738,05,金融学,非定向,2,502,1,4,6600,金家岭校区,,3698.0
152,540,384,05,法学（国际经济法）,非定向,1,590,1,4,6500,松江校区,,234.0
153,543,564,05,传播学,非定向,2,506,2,4,4400,天津市,学校各专业的公共外语课程均为英语，小语种考生慎重填报,3407.0
154,555,C98,05,会计学（中外合作办学）,非定向,4,508,6,4,100000,广东省珠海市,高考英语单科成绩不低于95分。英文教学。,3251.0
155,556,137,05,外国语言文学类,非定向,2,513,2,4,6500,临港校区,包含专业：翻译、商务英语、英语,2918.0
