,id,CollegeCode,MajorCode,MajorName,PlanNature,PlannedEnrollmentCount,MajorLowestAdmissionScore,MajorRegisteredApplicantsCount,DurationOfStudy,TuitionFee,LocationOfSchool,MajorNotes,ranking
154,1271,892,03,特殊教育（师范类）,非定向,2,430,2,4,3000,主校区,,11586
155,1278,616,03,小学教育,非定向,1,401,1,4,23000,校本部,,15577
156,1282,A67,03,中医学,非定向,1,484,1,5,4350,小蓝校区,不招色盲色弱考生,5193
157,1283,973,03,电子商务,非定向,2,382,0,4,19800,校本部,校校联合培养，详见招生章程,18266
158,1284,H15,03,金融工程,非定向,10,382,9,4,26800,校本部,,18266
159,1287,C05,03,汉语言文学,非定向,2,440,2,4,14000,主校区,,10303
160,1294,E11,03,财务管理,非定向,2,408,2,4,14800,校本部,,14636
161,1296,A01,03,金融工程,非定向,1,390,1,4,26000,校本部,,17106
162,1297,N41,03,会计学（注册会计师）,非定向,1,418,1,4,23800,校本部,,13227
163,1299,A38,03,人力资源管理（数智化管理精英班）,非定向,2,389,2,4,22800,校本部,,17250
164,1301,A98,03,金融学,非定向,2,441,2,4,21000,,,10173
165,1304,G55,03,财务管理,非定向,2,414,2,4,18000,校本部,,13783
166,1305,038,03,信用管理,非定向,5,421,5,4,4600,校本部,,12842
167,1307,G24,03,英语,非定向,2,407,2,4,4400,龙湖校区,,14756
168,1308,D21,03,物流管理,非定向,2,381,2,4,19800,靖安墨轩湖校区,,18406
169,1309,E03,03,日语,非定向,2,382,1,4,27000,校本部,,18266
170,1310,D74,03,市场营销（品牌管理与策划）,非定向,1,397,1,4,46600,北京市顺义区,,16180
171,1313,D41,03,财务管理（大数据管理）,非定向,2,401,2,4,20800,校本部,,15577
172,1318,766,03,俄语,非定向,20,403,8,4,4200,校本部,,15309
173,1321,367,03,法学,非定向,4,409,6,4,23500,主校区,,14492
174,1323,704,03,日语,非定向,2,383,1,4,18000,校本部,,18130
175,1324,A05,03,德语,非定向,1,382,0,4,18000,,,18266
176,1328,H96,03,会计学（注册会计）,非定向,1,441,1,4,24750,校本部,,10173
177,1335,808,03,物流管理,非定向,14,383,17,4,30000,校本部,,18130
178,1337,F89,03,财务管理,非定向,2,395,3,4,49800,北京市大兴区,,16438
179,1340,759,03,英语,非定向,40,381,28,4,4200,校本部,英语笔试成绩100分以上,18406
180,1342,K41,03,社会工作,非定向,2,441,2,4,4400,主校区,,10173
181,1348,J05,03,工程管理,非定向,1,429,0,4,17000,主校区,,11719
182,1350,021,03,工商管理,非定向,3,464,3,4,5200,金石滩校区,,7292
183,1351,698,03,财务管理,非定向,1,459,1,4,14000,,,7873
184,1352,K74,03,汉语言文学,非定向,2,448,2,4,14000,校本部,,9267
185,1354,E87,03,公共事业管理,非定向,25,397,32,4,16000,校本部,,16180
186,1361,854,03,朝鲜语,非定向,2,396,0,4,4600,九站校区,,16308
187,1363,LJ3,03,会计学（中外合作办学）,非定向,4,468,4,4,18000,莲花街校区,,6832
188,1365,H57,03,金融学,非定向,2,388,2,4,26840,校本部,,17390
189,1367,M16,03,法学,非定向,2,434,2,4,19000,石家庄市,,11066
190,1370,652,03,英语（师范类）,非定向,2,418,3,4,4900,河北省沧州市,,13227
191,1372,A35,03,财务管理,非定向,3,395,4,4,26800,净月校区,,16438
192,1378,546,03,健康服务与管理,非定向,2,469,2,4,,郫都校区,,6732
193,1380,F38,04,汉语言文学（师范类）,非定向,2,437,2,4,15000,南湖校区,,10697
194,1381,B38,04,新闻传播学类,非定向,4,438,4,4,33000,,一年级就读于回龙校区，后就读于钱湖校区。包含专业：新闻学、广告学、网络与新媒体,10562
195,1384,G24,04,翻译,非定向,1,402,1,4,4400,龙湖校区,,15431
196,1385,D03,04,法学,非定向,2,427,3,4,12000,校本部,,12009
197,1386,E03,04,网络与新媒体,非定向,4,387,4,4,27000,校本部,,17548
198,1387,D74,04,金融工程,非定向,1,402,1,4,46600,北京市顺义区,,15431
199,1389,D41,04,电子商务（商务数据分析）,非定向,2,388,2,4,17000,校本部,,17390
200,1392,H31,04,英语,非定向,1,384,1,4,24000,美林校区,,17992
201,1394,576,04,秘书学,非定向,4,445,4,4,3800,校本部,,9650
202,1395,116,04,英语,非定向,2,442,2,4,4900,校本部,,10023
203,1398,F29,04,汉语言文学,非定向,4,409,5,4,27000,校本部,,14492
204,1406,M72,04,会计学,非定向,1,459,2,4,4400,英才校区,,7873
205,1408,E55,04,金融学,非定向,2,426,2,4,17000,,前2年在绵阳校区，后2年在成都校区,12136
