,id,PreferenceOrder,CategoryName,AdmissionPlanCount,CollegeName,CollegeCode,AdmissionRatio,LowestScoreAdmissionRatio,LowestAdmissionScore,ExpectedApplicantsCount,RegisteredApplicantsCount,Shortfall_Count,AdmissionRegulationsURL,ranking,CollegeLevel,CollegeProvince,CollegeCity
75,2845,本科二批第一次,理科,9,上海商学院,A59,1:1,409,409,9,10,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-958.dhtml,34546,,上海市,上海市
76,2857,本科二批第一次,理科,123,吉林农业大学,840,1:1,376,376,123,123,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-161.dhtml,40811,,吉林省,长春市
77,2864,本科二批第一次,理科,8,新乡学院,091,1:1,353,353,8,9,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-715.dhtml,53703,,河南省,新乡市
78,2866,本科二批第一次,理科,5,枣庄学院,175,1:1,369,369,5,6,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-663.dhtml,48492,,山东省,枣庄市
79,2868,本科二批第一次,理科,12,中国矿业大学徐海学院（独立学院）,C05,1:1,333,333,12,10,2,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1828.dhtml,52414,,江苏省,徐州市
80,2874,本科二批第一次,理科,12,电子科技大学成都学院（独立学院）,503,1:1,383,383,12,13,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1906.dhtml,43684,,四川省,成都市
81,2877,本科二批第一次,理科,5,普洱学院,M49,1:1,340,340,5,7,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-534.dhtml,57968,,云南省,普洱市
82,2885,本科二批第一次,理科,26,河北科技学院（民办）,371,1:1,334,334,26,26,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1710.dhtml,55317,,河北省,石家庄市
83,2892,本科二批第一次,理科,10,兰州工商学院（民办）,F39,1:1,335,335,10,10,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1783.dhtml,56992,,甘肃省,兰州市
84,2896,本科二批第一次,理科,45,山东财经大学,A77,1:1,419,419,45,47,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-358.dhtml,20157,,山东省,济南市
85,2901,本科二批第一次,理科,13,哈尔滨医科大学,878,1:1,429,429,13,15,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-184.dhtml,30293,,黑龙江省,哈尔滨市
86,2902,本科二批第一次,理科,5,湖北汽车工业学院,476,1:1,347,347,5,5,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-406.dhtml,55654,,湖北省,十堰市
87,2906,本科二批第一次,理科,5,重庆工商大学派斯学院（独立学院）,924,1:1,369,369,5,5,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1836.dhtml,48492,,重庆市,重庆市
88,2907,本科二批第一次,理科,33,太原师范学院,729,1:1,363,363,33,33,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-100.dhtml,31351,,山西省,太原市
89,2913,本科二批第三次,理科,4,山西晋中理工学院（民办）,D24,1:1,333,333,4,2,2,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1805.dhtml,60194,,山西省,晋中市
90,2915,本科二批第一次,理科,5,荆楚理工学院,679,1:1,385,385,5,6,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-779.dhtml,39272,,湖北省,荆门市
91,2920,本科二批第一次,理科,25,河北金融学院,038,1:1,371,371,25,26,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-801.dhtml,42684,,河北省,保定市
92,2930,本科二批第一次,理科,15,武汉学院（民办）,D32,1:1,334,334,15,17,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1876.dhtml,58923,,湖北省,武汉市
93,2933,本科二批第二次,理科,5,四川外国语大学成都学院（独立学院）,K67,1:1,333,333,5,2,3,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1914.dhtml,60194,,四川省,成都市
94,2937,本科二批第二次,理科,20,山西工程技术学院,K89,1:1,345,345,20,20,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1003434186.dhtml,56309,,山西省,阳泉市
95,2945,本科二批第一次,理科,11,安徽科技学院,B39,1:1,370,370,11,11,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-659.dhtml,31351,,安徽省,滁州市
96,2946,本科二批第一次,理科,6,信阳学院（民办）,F38,1:1,337,337,6,6,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1776.dhtml,58923,,河南省,信阳市
97,2947,本科二批第一次,理科,35,集美大学诚毅学院（独立学院）,F37,1:1,347,347,35,35,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1766.dhtml,51753,,福建省,厦门市
98,2948,本科二批第一次,理科,26,南昌工程学院,146,1:1,369,369,26,27,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-769.dhtml,42062,,江西省,南昌市
99,2964,本科二批第一次,理科,72,防灾科技学院,B48,1:1,389,389,72,74,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-900.dhtml,30825,,河北省,廊坊市
100,2971,本科二批第三次,理科,21,广州应用科技学院（民办）,D34,1:1,333,333,21,16,5,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1898.dhtml,60194,,广东省,广州市
101,2975,本科二批第一次,理科,4,湖北第二师范学院,F74,1:1,387,387,4,4,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-5579637.dhtml,42684,,湖北省,武汉市
102,2980,本科二批第三次,理科,25,福州外语外贸学院（民办）,H57,1:1,333,333,25,17,8,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-2001.dhtml,60194,,福建省,福州市
103,2981,本科二批第一次,理科,49,河北地质大学,157,1:1,369,369,49,52,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-67.dhtml,24028,,河北省,石家庄市
104,2983,本科二批第一次,理科,6,玉溪师范学院,340,1:1,359,359,6,7,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-788.dhtml,41749,,云南省,玉溪市
105,2987,本科二批第一次,理科,6,厦门理工学院,405,1:1,439,439,6,7,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-708.dhtml,27654,,福建省,厦门市
106,2988,本科二批第一次,理科,14,武汉城市学院（民办）,646,1:1,333,333,14,12,2,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1591.dhtml,56652,,湖北省,武汉市
107,2993,本科二批第一次,理科,7,昆明理工大学津桥学院（独立学院）,D29,1:1,333,333,7,4,3,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1664.dhtml,35111,,云南省,昆明市
