,id,PreferenceOrder,CategoryName,AdmissionPlanCount,CollegeName,CollegeCode,AdmissionRatio,LowestScoreAdmissionRatio,LowestAdmissionScore,ExpectedApplicantsCount,RegisteredApplicantsCount,Shortfall_Count,AdmissionRegulationsURL,ranking,CollegeLevel,CollegeProvince,CollegeCity
347,5370,本科一批第一次,理科,5,上海外国语大学,277,1:1,517,517,5,5,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-212.dhtml,4278,"['211', 'DFC']",上海市,上海市
348,5373,本科一批第一次,理科,20,东北师范大学,L30,1:1,512,512,20,22,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-163.dhtml,7938,"['211', 'DFC']",吉林省,长春市
349,5397,本科一批第一次,理科,3,北京理工大学,LS4,1:1,591,591,3,3,0,,2250,"['985', '211', 'DFC']",北京市,北京市
350,5401,本科一批第二次,理科,22,沈阳工业大学,095,1:1,445,445,22,23,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-118.dhtml,26060,,辽宁省,沈阳市
351,5403,本科一批第一次,理科,4,天津商业大学,LN2,1:1,459,459,4,6,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-60.dhtml,22507,,天津市,天津市
352,5407,本科一批第一次,理科,10,中国科学技术大学,403,1:1,653,653,10,11,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-276.dhtml,202,"['985', '211', 'DFC']",安徽省,合肥市
353,5410,本科一批第一次,理科,6,陕西科技大学,LN8,1:1,463,463,6,7,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-554.dhtml,13906,,陕西省,西安市
354,5413,本科一批第一次,理科,4,北京理工大学,L17,1:1,591,591,4,5,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-7.dhtml,2187,"['985', '211', 'DFC']",北京市,北京市
355,5414,本科一批第二次,理科,36,东北林业大学,L79,1:1,463,463,36,38,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-183.dhtml,21591,"['211', 'DFC']",黑龙江省,哈尔滨市
356,5416,本科一批第一次,理科,70,内蒙古师范大学,L07,1:1,449,449,70,109,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-112.dhtml,25058,,内蒙古自治区,呼和浩特市
357,5426,本科一批第一次,理科,63,武汉大学,305,1:1,617,617,63,67,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-383.dhtml,1008,"['985', '211', 'DFC']",湖北省,武汉市
358,5427,本科一批第一次,理科,23,同济大学,309,1:1,631,631,23,28,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-198.dhtml,380,"['985', '211', 'DFC']",上海市,上海市
359,5434,本科一批第一次,理科,71,江西理工大学,428,1:1,444,444,71,77,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-318.dhtml,15495,,江西省,赣州市
360,5444,本科一批第一次,理科,30,安徽工业大学,040,1:1,452,452,30,33,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-278.dhtml,14116,,安徽省,马鞍山市
361,5447,本科一批第六次,理科,1046,内蒙古科技大学,764,1:1,434,434,1046,760,286,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-108.dhtml,28969,,内蒙古自治区,包头市
362,5448,本科一批第一次,理科,3,西北民族大学,004,1:1,485,485,3,5,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-582.dhtml,16660,,甘肃省,兰州市
363,5492,本科一批第一次,理科,6,长春理工大学,LS3,1:1,454,454,6,6,0,,17268,,吉林省,长春市
364,5501,本科一批第一次,理科,11,西南大学,071,1:1,468,468,11,11,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-489.dhtml,5000,"['211', 'DFC']",重庆市,重庆市
365,5523,本科一批第一次,理科,21,南京大学,282,1:1,654,654,21,25,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-223.dhtml,192,"['985', '211', 'DFC']",江苏省,南京市
366,5524,本科一批第一次,理科,17,中国人民大学,286,1:1,638,638,17,21,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-2.dhtml,453,"['985', '211', 'DFC']",北京市,北京市
367,5543,本科一批第一次,理科,28,河北师范大学,316,1:1,457,457,28,35,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-80.dhtml,11901,,河北省,石家庄市
368,5545,本科一批第一次,理科,945,内蒙古师范大学,752,1:1,434,434,945,932,13,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-112.dhtml,27392,,内蒙古自治区,呼和浩特市
369,5548,本科一批第一次,理科,40,长春理工大学,201,1:1,434,434,40,39,1,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-156.dhtml,14526,,吉林省,长春市
370,5552,本科一批第一次,理科,58,天津理工大学,559,1:1,457,457,58,64,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-53.dhtml,10442,,天津市,天津市
371,5554,本科一批第一次,理科,3,西南大学（荣昌校区）,N98,1:1,511,511,3,4,0,,11735,,重庆市,重庆市
372,5556,本科一批第三次,理科,10,曲阜师范大学,B94,1:1,434,434,10,8,2,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-349.dhtml,28969,,山东省,济宁市
373,5562,本科一批第一次,理科,4,天津科技大学,LP7,1:1,502,502,4,5,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-50.dhtml,13333,,天津市,天津市
374,5568,本科一批第五次,理科,28,青岛理工大学,173,1:1,458,458,28,29,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-335.dhtml,22756,,山东省,青岛市
375,5569,本科一批第一次,理科,42,河海大学,144,1:1,520,520,42,43,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-233.dhtml,6304,"['211', 'DFC']",江苏省,南京市
376,5570,本科一批第一次,理科,41,湖南师范大学,D31,1:1,482,482,41,43,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-417.dhtml,13516,"['211', 'DFC']",湖南省,长沙市
377,5572,本科一批第一次,理科,78,长沙理工大学,126,1:1,461,461,78,82,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-413.dhtml,10758,,湖南省,长沙市
378,5576,本科一批第一次,理科,19,西安石油大学,438,1:1,454,454,19,21,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-553.dhtml,23766,,陕西省,西安市
379,5579,本科一批第一次,理科,1425,内蒙古医科大学,758,1:1,436,436,1425,1459,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-111.dhtml,25324,,内蒙古自治区,呼和浩特市
