,id,PreferenceOrder,CategoryName,AdmissionPlanCount,CollegeName,CollegeCode,AdmissionRatio,LowestScoreAdmissionRatio,LowestAdmissionScore,ExpectedApplicantsCount,RegisteredApplicantsCount,Shortfall_Count,AdmissionRegulationsURL,MajorCode,MajorName,PlanNature,PlannedEnrollmentCount,MajorLowestAdmissionScore,MajorRegisteredApplicantsCount,DurationOfStudy,TuitionFee,LocationOfSchool,MajorNotes,CollegeLevel,ranking,CollegeProvince,CollegeCity
3238,5660,本科二批第一次,理科,67,山东工商学院,447,1:1,362,362,67,67,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-889.dhtml,31,保险学,非定向,1,412,1,4,5500,,,,35111,山东省,烟台市
3239,5661,本科二批第一次,理科,12,山东英才学院（民办）,165,1:1,333,333,12,10,2,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1470.dhtml,31,护理学,非定向,2,347,3,4,29800,南校区,,,55654,山东省,济南市
3240,5662,本科二批第一次,理科,4,陆军工程大学,M53,1:1,448,448,4,13,0,,31,工程管理（全国人防建筑施工组织管理与监理工程师）,非定向,1,456,1,4,,,划线类别：二，1.为全国人防系统定向培养，学员入校后不参军，毕业后面向人防系统自主就业，入学后按照教育部《高等学校学生学籍学历电子注册办法》进行注册。2.只招普通高中应届毕业生，政治面貌为中共党员或共青团员，具体条件详见院校招生章程。,,23253,湖南省,南昌市
3241,5664,本科二批第一次,理科,28,陕西国际商贸学院（民办）,614,1:1,336,336,28,30,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1547.dhtml,31,康复治疗学,非定向,2,336,1,4,22000,校本部,,,59238,陕西省,咸阳市
3242,5666,本科二批第一次,理科,41,北华航天工业学院,116,1:1,406,406,41,42,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-869.dhtml,31,飞行器设计与工程,非定向,2,428,3,4,4900,校本部,,,30558,河北省,廊坊市
3243,5667,本科二批第一次,理科,7,南阳理工学院,B96,1:1,384,384,7,8,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-880.dhtml,31,中医学,非定向,2,436,2,5,5500,校本部,,,28447,河南省,南阳市
3244,5669,本科二批第一次,理科,14,河南农业大学,590,1:1,381,381,14,14,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-367.dhtml,31,生物科学类,非定向,2,408,2,4,5000,,不招色弱色盲考生。包含专业：生物科学、生物技术,,36258,河南省,郑州市
3245,5670,本科二批第一次,理科,43,长春光华学院（民办）,A37,1:1,333,333,43,39,4,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1845.dhtml,31,物联网工程,非定向,4,335,4,4,25000,武汉路校区,,,59565,吉林省,长春市
3246,5671,本科二批第一次,理科,10,廊坊师范学院,639,1:1,370,370,10,10,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-84.dhtml,31,电气工程及其自动化,非定向,3,436,3,4,4900,廊坊校区,,,28447,河北省,廊坊市
3247,5672,本科二批第一次,理科,12,沧州师范学院,652,1:1,349,349,12,13,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-89.dhtml,31,化学（师范类）,非定向,1,419,1,4,4900,河北省沧州市,,,33081,河北省,沧州市
3248,5673,本科二批第一次,理科,28,沈阳理工大学,198,1:1,389,389,28,31,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-120.dhtml,31,弹药工程与爆炸技术,非定向,1,444,1,4,5200,主校区,,,26317,辽宁省,沈阳市
3249,5676,本科二批第一次,理科,8,云南师范大学,325,1:1,380,380,8,8,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-530.dhtml,31,英语（含师范、非师范）,非定向,2,426,2,4,3400,呈贡主校区,须参加各省（区、市）考试院统一组织的外语口语考试，合格者方能填报,,31095,云南省,昆明市
3250,5677,本科二批第一次,理科,67,沧州交通学院（民办）,F99,1:1,338,338,67,69,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-6680074.dhtml,31,轨道交通信号与控制,非定向,5,390,5,4,17000,校本部,,,41749,河北省,沧州市
3251,5679,本科二批第三次,理科,78,吉林建筑科技学院（民办）,836,1:1,333,333,78,48,30,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1849.dhtml,31,智能建造,非定向,3,333,0,4,26000,,,,60194,吉林省,长春市
3252,5681,本科二批第一次,理科,18,西安欧亚学院（民办）,948,1:1,344,344,18,18,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1195.dhtml,31,电子商务,非定向,2,352,2,4,24000,校本部,,,54022,陕西省,西安市
