,id,PreferenceOrder,CategoryName,AdmissionPlanCount,CollegeName,CollegeCode,AdmissionRatio,LowestScoreAdmissionRatio,LowestAdmissionScore,ExpectedApplicantsCount,RegisteredApplicantsCount,Shortfall_Count,AdmissionRegulationsURL,CollegeProvince,CollegeCity,CollegeLevel,ranking
94,2856,本科一批第一次,文科,19,大连海事大学,250,1:1,508,508,19,20,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-127.dhtml,辽宁省,大连市,"['211', 'DFC']",1399
95,2863,本科一批第一次,文科,8,浙江师范大学,A48,1:1,490,490,8,9,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-264.dhtml,浙江省,金华市,,3112
96,2877,本科一批第一次,文科,2,河南财经政法大学,A95,1:1,532,532,2,6,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-381.dhtml,河南省,郑州市,,1820
97,2892,本科一批第一次,文科,3,上海交通大学,310,1:1,621,621,3,4,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-199.dhtml,上海市,上海市,"['985', '211', 'DFC']",35
98,2959,本科一批第一次,文科,83,西南民族大学,006,1:1,485,485,83,85,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-508.dhtml,四川省,成都市,,4071
99,2973,本科一批第一次,文科,21,中国政法大学,019,1:1,567,567,21,25,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-47.dhtml,北京市,北京市,"['211', 'DFC']",420
100,3010,本科一批第二次,文科,7,广州中医药大学,796,1:1,539,539,7,8,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-437.dhtml,广东省,广州市,['DFC'],1502
101,3019,本科一批第一次,文科,4,浙江理工大学,442,1:1,516,516,4,5,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-259.dhtml,浙江省,杭州市,,2726
102,3063,本科一批第一次,文科,18,北京科技大学,170,1:1,539,539,18,18,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-8.dhtml,北京市,北京市,"['211', 'DFC']",1502
103,3095,本科一批第一次,文科,12,北京物资学院,048,1:1,485,485,12,13,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-33.dhtml,北京市,北京市,,3043
104,3103,本科一批第一次,文科,4,中国石油大学（北京）,435,1:1,519,519,4,4,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-798.dhtml,北京市,北京市,"['211', 'DFC']",2539
105,3108,本科一批第一次,文科,10,四川大学,289,1:1,557,557,10,11,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-469.dhtml,四川省,成都市,"['985', '211', 'DFC']",634
106,3111,本科一批第一次,文科,2,山东建筑大学,A69,1:1,495,495,2,2,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-336.dhtml,山东省,济南市,,4212
107,3127,本科一批第一次,文科,6,中国农业大学,073,1:1,551,551,6,7,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-18.dhtml,北京市,北京市,"['985', '211', 'DFC']",1095
108,3164,本科一批第一次,文科,4,中国地质大学（北京）,160,1:1,513,513,4,4,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-27214.dhtml,北京市,北京市,"['211', 'DFC']",2918
109,3245,本科一批第一次,文科,39,天津商业大学,046,1:1,479,479,39,46,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-60.dhtml,天津市,天津市,,5380
110,3251,本科一批第一次,文科,13,北京语言大学,281,1:1,529,529,13,13,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-29.dhtml,北京市,北京市,,1777
111,3254,本科一批第一次,文科,6,北京林业大学,082,1:1,519,519,6,7,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-20.dhtml,北京市,北京市,"['211', 'DFC']",924
112,3265,本科一批第一次,文科,7,辽宁大学,801,1:1,492,492,7,7,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-116.dhtml,辽宁省,沈阳市,"['211', 'DFC']",3112
113,3294,本科一批第一次,文科,33,中南民族大学,007,1:1,482,482,33,35,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-405.dhtml,湖北省,武汉市,,4718
114,3304,本科一批第一次,文科,30,内蒙古大学,L31,1:1.05,480,477,32,41,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-107.dhtml,内蒙古自治区,呼和浩特市,"['211', 'DFC']",5564
115,3306,本科一批第一次,文科,8,浙江大学,292,1:1,617,617,8,12,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-256.dhtml,浙江省,杭州市,"['985', '211', 'DFC']",45
116,3313,本科一批第一次,文科,490,内蒙古大学,751,1:1.05,502,482,515,527,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-107.dhtml,内蒙古自治区,呼和浩特市,"['211', 'DFC']",3612
117,3316,本科一批第一次,文科,8,中山大学,279,1:1,583,583,8,9,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-428.dhtml,广东省,广州市,"['985', '211', 'DFC']",154
118,3353,本科一批第一次,文科,8,济南大学,306,1:1,489,489,8,10,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-334.dhtml,山东省,济南市,,3112
119,3414,本科一批第一次,文科,17,黑龙江大学,875,1:1,481,481,17,18,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-173.dhtml,黑龙江省,哈尔滨市,,2994
120,3442,本科一批第一次,文科,15,中央财经大学,025,1:1,549,549,15,19,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-31.dhtml,北京市,北京市,"['211', 'DFC']",1162
121,3493,本科一批第一次,文科,16,湖南中医药大学,B02,1:1,484,484,16,18,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-416.dhtml,湖南省,长沙市,,1963
122,3506,本科一批第一次,文科,26,华中农业大学,066,1:1,518,518,26,27,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-393.dhtml,湖北省,武汉市,"['211', 'DFC']",1432
123,3511,本科一批第一次,文科,2,广东财经大学,086,1:1,530,530,2,2,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-452.dhtml,广东省,广州市,,967
124,3517,本科一批第一次,文科,112,内蒙古财经大学,L10,1:1,468,468,112,89,23,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-115.dhtml,内蒙古自治区,呼和浩特市,,5673
125,3518,本科一批第一次,文科,6,中国农业大学,J78,1:1,544,544,6,7,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-18.dhtml,北京市,北京市,"['985', '211', 'DFC']",1321
126,3555,本科一批第一次,文科,18,山东大学,300,1:1,549,549,18,20,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-330.dhtml,山东省,济南市,"['985', '211', 'DFC']",420
127,3560,本科一批第一次,文科,2,江西财经大学,LVL,1:1,489,489,2,5,0,,江西省,南昌市,,1008
128,3587,本科一批第一次,文科,18,天津外国语大学,551,1:1,488,488,18,24,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-59.dhtml,天津市,天津市,,2994
129,3619,本科一批第一次,文科,6,中国地质大学（武汉）,162,1:1,546,546,6,7,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-388.dhtml,湖北省,武汉市,['211'],1254
130,3626,本科一批第一次,文科,18,海南师范大学,927,1:1,479,479,18,20,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-883.dhtml,海南省,海口市,,3407
131,3633,本科一批第一次,文科,14,南京财经大学,049,1:1,487,487,14,17,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-250.dhtml,江苏省,南京市,,4902
132,3678,本科一批第一次,文科,26,西南财经大学,035,1:1,537,537,26,27,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-503.dhtml,四川省,成都市,"['211', 'DFC']",1254
133,3689,本科一批第一次,文科,6,燕山大学,295,1:1,470,470,6,6,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-176.dhtml,河北省,秦皇岛市,,4212
134,3700,本科一批第一次,文科,12,西安财经大学,029,1:1,492,492,12,13,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-854.dhtml,陕西省,西安市,,4212
135,3720,本科一批第一次,文科,17,湘潭大学,702,1:1,511,511,17,18,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-408.dhtml,湖南省,湘潭市,,3043
136,3731,本科一批第一次,文科,4,深圳技术大学,P45,1:1,491,491,4,6,0,,广东省,深圳市,,4557
137,3735,本科一批第一次,文科,2,天津外国语大学,LF8,1:1,488,488,2,3,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-59.dhtml,天津市,天津市,,4799
138,3749,本科一批第一次,文科,20,安徽财经大学,052,1:1,480,480,20,22,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-294.dhtml,安徽省,蚌埠市,,3994
139,3750,本科一批第一次,文科,9,武汉理工大学,253,1:1,516,516,9,12,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-391.dhtml,湖北省,武汉市,"['211', 'DFC']",1095
140,3762,本科一批第六次,文科,18,哈尔滨理工大学,099,1:1,468,468,18,15,3,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-175.dhtml,黑龙江省,哈尔滨市,,6832
141,3792,本科一批第一次,文科,32,中央民族大学,003,1:1,548,548,32,32,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-46.dhtml,北京市,北京市,"['985', 'DFC']",737
142,3803,本科一批第一次,文科,3,湖州师范学院,510,1:1,484,484,3,5,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-266.dhtml,浙江省,湖州市,,5193
143,3838,本科一批第一次,文科,29,大连民族大学,021,1:1,468,468,29,27,2,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-949.dhtml,辽宁省,大连市,,4645
144,3845,本科一批第一次,文科,5,浙江传媒学院,271,1:1,483,483,5,6,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-877.dhtml,浙江省,杭州市,,2482
145,3877,本科一批第一次,文科,3,湖北工业大学,478,1:1,512,512,3,4,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-392.dhtml,湖北省,武汉市,,2994
146,3880,本科一批第二次,文科,7,青岛科技大学,211,1:1,497,497,7,8,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-333.dhtml,山东省,青岛市,,4071
147,3888,本科一批第一次,文科,12,南京工业大学,192,1:1,499,499,12,14,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-230.dhtml,江苏省,南京市,,2918
148,3921,本科一批第一次,文科,5,南开大学,LH6,1:1,568,568,5,6,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-48.dhtml,天津市,天津市,"['985', '211', 'DFC']",611
149,3948,本科一批第一次,文科,14,新疆大学,981,1:1,489,489,14,15,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-590.dhtml,新疆维吾尔自治区,乌鲁木齐市,"['211', 'DFC']",2250
150,3961,本科一批第一次,文科,2,延边大学,L92,1:1,511,511,2,2,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-155.dhtml,吉林省,延边朝鲜族自治州,"['211', 'DFC']",3043
151,3969,本科一批第一次,文科,8,上海海洋大学,062,1:1,508,508,8,10,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-207.dhtml,上海市,上海市,['DFC'],3251
152,4017,本科一批第一次,文科,8,东北师范大学,LM2,1:1,518,518,8,10,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-163.dhtml,吉林省,长春市,"['211', 'DFC']",2604
153,4058,本科一批第一次,文科,14,河北大学,630,1:1,487,487,14,16,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-65.dhtml,河北省,保定市,,4902
154,4079,本科一批第一次,文科,3,中国计量大学,374,1:1,519,519,3,3,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-274.dhtml,浙江省,杭州市,,2539
155,4096,本科一批第一次,文科,55,北方民族大学,005,1:1,472,472,55,59,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-797.dhtml,宁夏回族自治区,银川市,,5476
156,4116,本科一批第一次,文科,10,中北大学,202,1:1,475,475,10,11,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-93.dhtml,山西省,太原市,,6063
157,4162,本科一批第一次,文科,27,中南民族大学,L65,1:1,500,500,27,29,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-405.dhtml,湖北省,武汉市,,3851
158,4197,本科一批第一次,文科,28,东北林业大学,083,1:1,519,519,28,29,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-183.dhtml,黑龙江省,哈尔滨市,"['211', 'DFC']",2426
159,4210,本科一批第一次,文科,6,江南大学,288,1:1,530,530,6,7,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-234.dhtml,江苏省,无锡市,"['211', 'DFC']",1540
160,4212,本科一批第一次,文科,4,西安工业大学,B25,1:1,503,503,4,4,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-550.dhtml,陕西省,西安市,,3321
161,4218,本科一批第一次,文科,4,北京外国语大学,276,1:1,562,562,4,4,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-27.dhtml,北京市,北京市,"['211', 'DFC']",771
162,4224,本科一批第一次,文科,10,北京体育大学,338,1:1,489,489,10,15,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-38.dhtml,北京市,北京市,"['211', 'DFC']",1254
163,4233,本科一批第一次,文科,16,西南科技大学,621,1:1,475,475,16,17,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-477.dhtml,四川省,绵阳市,,2482
164,4263,本科一批第一次,文科,6,长安大学,278,1:1,524,524,6,7,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-556.dhtml,陕西省,西安市,"['211', 'DFC']",1358
165,4272,本科一批第一次,文科,10,南昌大学,935,1:1,493,493,10,10,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-314.dhtml,江西省,南昌市,"['211', 'DFC']",2857
166,4282,本科一批第一次,文科,3,中国石油大学（华东）,439,1:1,528,528,3,3,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-27215.dhtml,山东省,青岛市,['211'],2023
167,4291,本科一批第一次,文科,5,扬州大学,911,1:1,491,491,5,7,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-737.dhtml,江苏省,扬州市,,1216
168,4319,本科一批第一次,文科,3,常州大学,127,1:1,493,493,3,3,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-231.dhtml,江苏省,常州市,,4384
169,4337,本科一批第一次,文科,12,天津科技大学,229,1:1,478,478,12,14,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-50.dhtml,天津市,天津市,,4645
170,4397,本科一批第一次,文科,5,宁波大学,908,1:1,512,512,5,5,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-876.dhtml,浙江省,宁波市,['DFC'],1864
171,4403,本科一批第一次,文科,12,江苏海洋大学,502,1:1,475,475,12,13,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-875.dhtml,江苏省,连云港市,,5193
172,4433,本科一批第一次,文科,8,华中师范大学,324,1:1,540,540,8,10,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-395.dhtml,湖北省,武汉市,"['211', 'DFC']",1465
173,4465,本科一批第二次,文科,18,华侨大学,378,1:1,491,491,18,21,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-300.dhtml,福建省,泉州市,,4557
174,4507,本科一批第六次,文科,16,安徽师范大学,042,1:1,478,478,16,17,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-286.dhtml,安徽省,芜湖市,,5780
175,4512,本科一批第一次,文科,6,东北财经大学,026,1:1,519,519,6,7,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-145.dhtml,辽宁省,大连市,,2539
176,4513,本科一批第一次,文科,2,山东理工大学,197,1:1,481,481,2,5,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-338.dhtml,山东省,淄博市,,5476
177,4520,本科一批第一次,文科,5,首都师范大学,529,1:1,527,527,5,6,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-25.dhtml,北京市,北京市,['DFC'],1911
178,4524,本科一批第一次,文科,13,湖南大学,301,1:1,538,538,13,13,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-410.dhtml,湖南省,长沙市,"['985', '211', 'DFC']",1540
179,4531,本科一批第一次,文科,644,内蒙古财经大学,754,1:1,468,468,644,663,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-115.dhtml,内蒙古自治区,呼和浩特市,,3183
180,4560,本科一批第一次,文科,6,南京信息工程大学,357,1:1,488,488,6,6,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-237.dhtml,江苏省,南京市,['DFC'],4799
181,4568,本科一批第一次,文科,2,湖南农业大学,065,1:1,488,488,2,3,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-414.dhtml,湖南省,长沙市,,4799
182,4570,本科一批第一次,文科,13,山西大学,711,1:1,506,506,13,18,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-91.dhtml,山西省,太原市,,2604
183,4596,本科一批第一次,文科,12,石河子大学,076,1:1,503,503,12,14,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-593.dhtml,新疆维吾尔自治区,石河子市,"['211', 'DFC']",3251
184,4600,本科一批第六次,文科,331,内蒙古工业大学,753,1:1.05,468,468,348,221,127,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-109.dhtml,内蒙古自治区,呼和浩特市,,6832
185,4616,本科一批第一次,文科,2,江苏科技大学,409,1:1,512,512,2,2,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-228.dhtml,江苏省,镇江市,,2994
186,4624,本科一批第一次,文科,6,浙江农林大学,A41,1:1,478,478,6,9,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-261.dhtml,浙江省,杭州市,,5380
187,4672,本科一批第一次,文科,4,西南大学,071,1:1,541,541,4,4,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-489.dhtml,重庆市,重庆市,"['211', 'DFC']",924
188,4674,本科一批第一次,文科,17,暨南大学,377,1:1.05,533,526,18,20,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-429.dhtml,广东省,广州市,"['211', 'DFC']",2140
189,4675,本科一批第一次,文科,10,西南交通大学,237,1:1,539,539,10,11,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-471.dhtml,四川省,成都市,"['211', 'DFC']",1432
190,4677,本科一批第一次,文科,27,中南林业科技大学,B00,1:1,477,477,27,33,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-415.dhtml,湖南省,长沙市,,2367
191,4690,本科一批第一次,文科,8,东北财经大学,L72,1:1,485,485,8,8,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-145.dhtml,辽宁省,大连市,,5083
192,4694,本科一批第一次,文科,8,江西财经大学,027,1:1,515,515,8,8,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-329.dhtml,江西省,南昌市,,2798
193,4700,本科一批第二次,文科,10,辽宁工程技术大学,450,1:1,486,486,10,15,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-123.dhtml,辽宁省,阜新市,,5000
194,4710,本科一批第一次,文科,6,中国传媒大学,269,1:1,541,541,6,8,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-30.dhtml,北京市,北京市,"['211', 'DFC']",1432
195,4737,本科一批第一次,文科,17,兰州大学,296,1:1,529,529,17,17,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-571.dhtml,甘肃省,兰州市,"['985', '211', 'DFC']",1963
196,4741,本科一批第一次,文科,12,东北农业大学,877,1:1,516,516,12,12,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-182.dhtml,黑龙江省,哈尔滨市,"['211', 'DFC']",2726
