,id,PreferenceOrder,CategoryName,AdmissionPlanCount,CollegeName,CollegeCode,AdmissionRatio,LowestScoreAdmissionRatio,LowestAdmissionScore,ExpectedApplicantsCount,RegisteredApplicantsCount,Shortfall_Count,AdmissionRegulationsURL,MajorCode,MajorName,PlanNature,PlannedEnrollmentCount,MajorLowestAdmissionScore,MajorRegisteredApplicantsCount,DurationOfStudy,TuitionFee,LocationOfSchool,MajorNotes,ranking,CollegeProvince,CollegeLevel,CollegeCity
10,64,本科一批第一次,文科,18,厦门大学,298,1:1,586,586,18,22,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-299.dhtml,01,人文科学试验班,非定向,2,599,4,4,5460,思明校区,专业分流后到戏剧影视文学专业学费9360元/学年。包含专业：汉语言文学、戏剧影视文学、汉语言、历史学、考古学、哲学,148.0,福建省,"['985', '211', 'DFC']",厦门市
11,67,本科一批第一次,文科,25,山东政法学院,E63,1:1,490,490,25,28,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-85314.dhtml,01,法学,非定向,8,532,10,4,5280,,,1820.0,山东省,,济南市
12,68,本科一批第一次,文科,13,上海立信会计金融学院,964,1:1,507,507,13,14,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-695.dhtml,01,会计学,非定向,2,538,2,4,6500,文翔路校区,,1540.0,上海市,,上海市
13,70,本科一批第三次,文科,51,内蒙古科技大学,764,1:1,470,470,51,52,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-108.dhtml,01,金融学,非定向,20,470,2,4,4400,校本部,,6623.0,内蒙古自治区,,包头市
14,73,本科一批第一次,文科,17,湘潭大学,702,1:1,511,511,17,18,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-408.dhtml,01,哲学,非定向,3,511,3,4,5300,校本部,,3043.0,湖南省,,湘潭市
15,74,本科一批第一次,文科,22,海南大学,925,1:1,509,509,22,23,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-450.dhtml,01,金融学,非定向,1,540,1,4,4600,观澜湖校区,,1465.0,海南省,"['211', 'DFC']",海口市
16,77,本科一批第一次,文科,12,对外经济贸易大学,061,1:1,584,584,12,12,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-32.dhtml,01,金融学类,非定向,4,589,5,4,5000,北京,包含专业：金融学、金融学(国际金融与市场)、经济与金融、投资学、保险学(含与大数据专业双学士学位项目),247.0,北京市,"['211', 'DFC']",北京市
17,80,本科一批第一次,文科,15,河南大学,594,1:1,487,487,15,17,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-372.dhtml,01,经济学类,非定向,3,487,3,4,5060,开封校区,包含专业：经济学、金融学、财政学、国际经济与贸易,4902.0,河南省,['DFC'],开封市
18,84,本科一批第一次,文科,12,西北农林科技大学,074,1:1,522,522,12,13,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-557.dhtml,01,法学,非定向,2,568,2,4,5500,校本部,,611.0,陕西省,"['985', '211', 'DFC']",咸阳市
19,85,本科一批第一次,文科,15,中央财经大学,025,1:1,549,549,15,19,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-31.dhtml,01,财政学类,非定向,2,597,3,4,5000,按学校两校区建设规划和办学实际确定,包含专业：财政学、税收学,169.0,北京市,"['211', 'DFC']",北京市
20,87,本科一批第一次,文科,17,西安外国语大学,942,1:1,497,497,17,19,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-566.dhtml,01,金融学,非定向,1,497,0,4,5000,长安校区,,4071.0,陕西省,,西安市
21,88,本科一批第一次,文科,8,首都经济贸易大学,522,1:1,489,489,8,9,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-34.dhtml,01,公共管理类,非定向,4,489,5,4,5000,校本部,包含专业：行政管理、土地资源管理、城市管理、城市管理(区域经济管理),4718.0,北京市,,北京市
22,95,本科一批第一次,文科,17,兰州大学,296,1:1,529,529,17,17,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-571.dhtml,01,哲学,非定向,2,554,5,4,5000,甘肃兰州,,1008.0,甘肃省,"['985', '211', 'DFC']",兰州市
23,101,本科一批第一次,文科,17,天津师范大学,562,1:1,487,487,17,18,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-57.dhtml,01,汉语言文学（师范）,非定向,5,546,6,4,4400,主校区,,1254.0,天津市,,天津市
24,105,本科一批第一次,文科,17,黑龙江大学,875,1:1,481,481,17,18,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-173.dhtml,01,哲学,非定向,2,491,2,4,2500,哈尔滨市,,4557.0,黑龙江省,,哈尔滨市
25,106,本科一批第一次,文科,15,中国社会科学院大学,M32,1:1,546,546,15,17,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1824984166.dhtml,01,思想政治教育,非定向,2,560,2,4,5000,主校区,,826.0,北京市,,北京市
26,108,本科一批第一次,文科,18,北京师范大学一香港浸会大学联合国际学院,C98,1:1,503,503,18,24,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-398036.dhtml,01,工商管理类（中外合作办学）,非定向,4,506,4,4,100000,广东省珠海市,大类招生。工商管理专业培养创业与创新管理、电子商务与资讯系统管理、数字媒体管理方向；文化产业管理专业培养文化创意与管理，旅游、酒店与会展管理方向。原则上在第一学年第二学期开始前完成专业确认。高考英语单科成绩不低于95分。英文教学。包含专业：财务管理(中外合作办学)、人力资源管理(中外合作办学)、市场营销(中外合作办学)、工商管理(中外合作办学)、文化产业管理(中外合作办学),3407.0,广东省,,珠海市
27,109,本科一批第一次,文科,9,苏州大学,327,1:1,519,519,9,12,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-224.dhtml,01,汉语言文学（师范）,非定向,1,549,1,4,5200,苏州,,1162.0,江苏省,"['211', 'DFC']",苏州市
28,113,本科一批第一次,文科,20,吉林财经大学,381,1:1,479,479,20,25,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-170.dhtml,01,会计学,非定向,2,523,5,4,5280,净月校区,,2319.0,吉林省,,长春市
29,123,本科一批第一次,文科,7,辽宁大学,801,1:1,492,492,7,7,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-116.dhtml,01,汉语言文学,非定向,2,562,2,4,5520,沈阳蒲河校区,,771.0,辽宁省,"['211', 'DFC']",沈阳市
30,124,本科一批第一次,文科,16,安徽师范大学,042,1:1,478,478,16,17,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-286.dhtml,01,汉语言文学（师范类）,非定向,3,518,6,4,,天门山校区,,2604.0,安徽省,,芜湖市
31,126,本科一批第一次,文科,5,中国民用航空飞行学院,362,1:1,468,468,5,4,1,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-481.dhtml,01,思想政治教育,非定向,1,501,1,4,,校本部,,3768.0,四川省,,德阳市
32,127,本科一批第一次,文科,644,内蒙古财经大学,754,1:1,468,468,644,663,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-115.dhtml,01,经济学,非定向,50,479,62,4,4400,西校区,,5673.0,内蒙古自治区,,呼和浩特市
33,133,本科一批第一次,文科,26,西南财经大学,035,1:1,537,537,26,27,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-503.dhtml,01,金融学类,非定向,2,578,3,4,4600,柳林校区,包含专业：金融学、金融工程、信用管理、金融学(证券与期货方向)、投资学,420.0,四川省,"['211', 'DFC']",成都市
34,134,本科一批第一次,文科,13,山西大学,711,1:1,506,506,13,18,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-91.dhtml,01,汉语言文学,非定向,2,536,2,4,5175,坞城校区,,1630.0,山西省,,太原市
35,135,本科一批第一次,文科,83,西南民族大学,006,1:1,485,485,83,85,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-508.dhtml,01,哲学,非定向,3,507,3,4,4400,武侯校区,,3321.0,四川省,,成都市
36,145,本科一批第一次,文科,4,上海外国语大学,277,1:1,548,548,4,5,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-212.dhtml,01,英语,非定向,1,571,1,4,7150,主校区,,548.0,上海市,"['211', 'DFC']",上海市
