,id,PreferenceOrder,CategoryName,AdmissionPlanCount,CollegeName,CollegeCode,AdmissionRatio,LowestScoreAdmissionRatio,LowestAdmissionScore,ExpectedApplicantsCount,RegisteredApplicantsCount,Shortfall_Count,AdmissionRegulationsURL,MajorCode,MajorName,PlanNature,PlannedEnrollmentCount,MajorLowestAdmissionScore,MajorRegisteredApplicantsCount,DurationOfStudy,TuitionFee,LocationOfSchool,MajorNotes,ranking,CollegeLevel,CollegeProvince,CollegeCity
964,3885,本科二批第一次,文科,55,长春工业大学人文信息学院（独立学院）,838,1:1,383,383,55,62,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1846.dhtml,16,制药工程,非定向,3,387,3,4,26000,净月南校区,,17548,,吉林省,长春市
965,3891,本科二批第一次,文科,50,银川科技学院（民办）,E85,1:1,379,379,50,48,2,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-6675760.dhtml,16,工程造价,非定向,3,389,4,4,24800,校本部,,17250,,宁夏回族自治区,银川市
966,3893,本科二批第一次,文科,5,天津外国语大学滨海外事学院（独立学院）,A05,1:1,382,382,5,6,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1899.dhtml,16,新闻学,非定向,1,402,2,4,15000,,,15431,,天津市,天津市
967,3897,本科二批第一次,文科,18,河北经贸大学,645,1:1,446,446,18,19,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-931.dhtml,17,劳动与社会保障,非定向,2,448,2,4,4600,校本部,,9267,,河北省,石家庄市
968,3900,本科二批第一次,文科,3,陕西服装工程学院（民办）,616,1:1,388,388,3,3,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1549.dhtml,17,会计学,非定向,1,388,1,4,23000,校本部,,17390,,陕西省,咸阳市
969,3907,本科二批第一次,文科,9,青岛城市学院（民办）,482,1:1,381,381,9,10,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1701.dhtml,17,物流管理,非定向,1,387,2,4,24800,校本部,,17548,,山东省,青岛市
970,3908,本科二批第一次,文科,45,黑龙江财经学院（民办）,A01,1:1,382,382,45,47,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1642.dhtml,17,工商管理类（隶属于管理学类，按管理学类培养分流）,非定向,8,385,11,4,25000,校本部,包含专业：工商管理、市场营销、人力资源管理、旅游管理、酒店管理、会展经济与管理,17842,,黑龙江省,哈尔滨市
971,3909,本科二批第一次,文科,23,晋中信息学院（民办）,H49,1:1,388,388,23,23,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1803.dhtml,17,国际经济与贸易,非定向,2,394,4,4,14980,,,16571,,山西省,晋中市
972,3912,本科二批第一次,文科,43,丽江文化旅游学院（民办）,A33,1:1,381,381,43,44,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1663.dhtml,17,汉语言文学,非定向,5,407,6,4,21000,校本部,,14756,,云南省,丽江市
973,3914,本科二批第一次,文科,19,北京科技大学天津学院（独立学院）,D71,1:1,384,384,19,19,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-93355.dhtml,17,朝鲜语,非定向,2,384,0,4,18000,天津市宝坻区,,17992,,天津市,天津市
974,3916,本科二批第一次,文科,5,湖北中医药大学,535,1:1,439,439,5,5,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-394.dhtml,17,商务英语,非定向,1,445,1,4,4000,校本部,,9650,,湖北省,武汉市
975,3923,本科二批第二次,文科,3,上海杉达学院（民办）,A02,1:1,379,379,3,2,1,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-932.dhtml,17,新闻学,非定向,1,379,0,4,35000,,录取新生就读校区为一年级在嘉善校区，其他学期在金海校区。,18670,,上海市,上海市
976,3926,本科二批第一次,文科,8,太原学院,719,1:1,449,449,8,8,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-745.dhtml,17,汉语言文学,非定向,4,449,4,4,4950,汾东校区,,9154,,山西省,太原市
977,3929,本科二批第一次,文科,23,辽宁师范大学海华学院（独立学院）,F29,1:1,383,383,23,26,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1582.dhtml,17,旅游管理,非定向,1,386,1,4,27500,校本部,,17686,,辽宁省,大连市
978,3933,本科二批第一次,文科,5,梧州学院,531,1:1,394,394,5,6,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-784.dhtml,17,旅游管理,非定向,2,394,2,4,4600,校本部,,16571,,广西壮族自治区,梧州市
979,3934,本科二批第一次,文科,27,海南热带海洋学院,976,1:1,393,393,27,28,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-729.dhtml,17,物流管理,非定向,2,435,2,4,4620,三亚校区,,10940,,海南省,三亚市
980,3936,本科二批第一次,文科,6,兰州文理学院,C28,1:1,405,405,6,9,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-856.dhtml,17,汉语言文学（师范类）,非定向,1,463,1,4,3800,校本部,,7411,,甘肃省,兰州市
981,3939,本科二批第一次,文科,20,齐鲁理工学院（民办）,F66,1:1,386,386,20,21,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-427247.dhtml,17,护理学,非定向,10,403,11,4,27500,济南校区,,15309,,山东省,济南市
982,3941,本科二批第二次,文科,45,长春光华学院（民办）,A37,1:1,383,383,45,49,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1845.dhtml,17,商务英语,非定向,2,383,0,4,25000,武汉路校区,,18130,,吉林省,长春市
983,3943,本科二批第一次,文科,2,西安交通工程学院（民办）,176,1:1,387,387,2,3,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1819.dhtml,17,物流管理,非定向,2,387,2,4,20350,校本部,,17548,,陕西省,西安市
984,3951,本科二批第一次,文科,487,呼伦贝尔学院,766,1:1,403,403,487,502,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-608.dhtml,17,经济与金融,非定向,8,423,8,4,4400,校本部,,12567,,内蒙古自治区,呼伦贝尔市
985,3955,本科二批第一次,文科,4,陕西学前师范学院,J47,1:1,449,449,4,5,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-5038141.dhtml,17,小学教育（师范类）,非定向,2,449,3,4,5000,长安校区,,9154,,陕西省,西安市
986,3956,本科二批第一次,文科,20,长沙医学院（民办）,G16,1:1,395,395,20,20,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-610.dhtml,17,康复治疗学,非定向,2,395,1,4,41544,长沙校区,,16438,,湖南省,长沙市
987,3960,本科二批第一次,文科,12,上海建桥学院（民办）,F08,1:1,379,379,12,9,3,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1280.dhtml,17,工商管理,非定向,3,386,3,4,32000,,,17686,,上海市,上海市
988,3961,本科二批第一次,文科,8,哈尔滨金融学院,041,1:1,454,454,8,8,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-196.dhtml,17,财务管理,非定向,2,471,2,4,4500,校本部,,6497,,黑龙江省,哈尔滨市
989,3965,本科二批第一次,文科,10,山东管理学院,K41,1:1,402,402,10,10,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-5463633.dhtml,17,经济学,非定向,2,452,2,4,5500,主校区,,8757,,山东省,济南市
990,3966,本科二批第一次,文科,10,沧州交通学院（民办）,F99,1:1,391,391,10,13,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-6680074.dhtml,17,金融工程,非定向,1,391,0,4,15000,校本部,,16961,,河北省,沧州市
991,3967,本科二批第一次,文科,44,长春科技学院（民办）,356,1:1,391,391,44,46,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-1851.dhtml,17,金融学,非定向,2,391,2,4,26000,东华大街校区,,16961,,吉林省,长春市
