,id,PreferenceOrder,CategoryName,AdmissionPlanCount,CollegeName,CollegeCode,AdmissionRatio,LowestScoreAdmissionRatio,LowestAdmissionScore,ExpectedApplicantsCount,RegisteredApplicantsCount,Shortfall_Count,AdmissionRegulationsURL,MajorCode,MajorName,PlanNature,PlannedEnrollmentCount,MajorLowestAdmissionScore,MajorRegisteredApplicantsCount,DurationOfStudy,TuitionFee,LocationOfSchool,MajorNotes,ranking,CollegeLevel,CollegeProvince,CollegeCity
923,1234,本科一批第一次,理科,45,河北工业大学,631,1:1,486,486,45,47,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-70.dhtml,0G,新能源科学与工程,非定向,3,556,3,4,5800,天津校区,,5321.0,"['211', 'DFC']",河北省,天津市
924,1235,本科一批第二次,理科,24,中南财经政法大学,020,1:1,514,514,24,27,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-402.dhtml,0G,新闻传播学类,非定向,2,514,0,4,4500,南湖校区,包含专业：新闻学、广播电视学、网络与新媒体,11259.0,"['211', 'DFC']",湖北省,武汉市
925,1236,本科一批第一次,理科,20,北京信息科技大学,897,1:1,483,483,20,21,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-742.dhtml,0G,物联网工程,非定向,2,529,2,4,4600,太行路校区,,8958.0,,北京市,北京市
926,1238,本科一批第一次,理科,72,中国民用航空飞行学院,362,1:1,466,466,72,76,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-481.dhtml,0G,交通运输（空中交通管制、飞行签派、航行情报）,非定向,6,517,8,4,,校本部,"原则上只招男生，不建议女生报考，报考该专业考生身体基本要求：肝功正常，每眼裸眼视力不低于4.0,矫正远视力不低于4.8且镜片度数不大于500度。无色盲色弱，无显斜视，无语言、发音或听力障碍，无精神疾病病史等。",10758.0,,四川省,德阳市
927,1239,本科一批第一次,理科,37,上海立信会计金融学院,964,1:1,473,473,37,40,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-695.dhtml,0G,数学与应用数学,非定向,2,489,2,4,7000,上川路校区,,15879.0,,上海市,上海市
928,1240,本科一批第一次,理科,62,合肥工业大学,097,1:1,512,512,62,65,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-277.dhtml,0G,工商管理类,非定向,2,518,3,4,5500,合肥校区,包含专业：会计学、工商管理、市场营销,10600.0,"['211', 'DFC']",安徽省,合肥市
929,1242,本科一批第一次,理科,68,华北电力大学（北京）,134,1:1,546,546,68,74,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-91460.dhtml,0G,能源动力类（新能源）,非定向,6,578,6,4,5500,北京校部,包含专业：新能源科学与工程、新能源材料与器件,3213.0,['DFC'],北京市,北京市
930,1243,本科一批第一次,理科,111,中国民航大学,363,1:1,481,481,111,115,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-52.dhtml,0H,土木工程,非定向,3,481,0,4,5800,东丽校区,,17482.0,,天津市,天津市
931,1244,本科一批第二次,理科,33,青岛科技大学,211,1:1,454,454,33,39,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-333.dhtml,0H,复合材料与工程,非定向,3,454,1,4,6325,四方校区,,23766.0,,山东省,青岛市
932,1246,本科一批第一次,理科,28,大连外国语大学,033,1:1,434,434,28,28,0,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-144.dhtml,0H,法语,非定向,2,476,2,4,8000,主校区,,18605.0,,辽宁省,大连市
