分数档次	物理(含优惠分)人数	物理累计人数	历史(含优惠分)人数	历史累计人数
341	773	337784	841	150209
340	691	338475	836	151045
339	752	339227	846	151891
338	700	339927	886	152777
337	724	340651	845	153622
336	688	341339	820	154442
335	709	342048	802	155244
334	688	342736	795	156039
333	671	343407	799	156838
332	690	344097	863	157701
331	633	344730	839	158540
330	672	345402	841	159381
329	620	346022	796	160177
328	589	346611	786	160963
327	642	347253	798	161761
326	626	347879	777	162538
325	594	348473	791	163329
324	596	349069	749	164078
323	633	349702	772	164850
322	600	350302	783	165633
321	567	350869	785	166418
320	554	351423	760	167178
319	543	351966	771	167949
318	587	352553	749	168698
317	549	353102	788	169486
316	580	353682	762	170248
315	567	354249	700	170948
314	564	354813	739	171687
313	542	355355	709	172396
312	506	355861	723	173119
311	485	356346	638	173757
310	454	356800	671	174428
309	465	357265	632	175060
308	485	357750	677	175737
307	462	358212	690	176427
306	441	358653	665	177092
305	450	359103	590	177682
304	461	359564	680	178362
303	488	360052	679	179041
302	406	360458	685	179726
301	445	360903	625	180351
300	441	361344	637	180988
299	445	361789	653	181641
298	394	362183	640	182281
297	446	362629	607	182888
296	374	363003	617	183505
295	432	363435	606	184111
294	372	363807	592	184703
293	390	364197	636	185339
292	400	364597	632	185971
291	383	364980	573	186544
290	389	365369	550	187094
289	361	365730	608	187702
288	339	366069	605	188307
287	352	366421	552	188859
286	346	366767	614	189473
285	337	367104	616	190089
284	338	367442	614	190703
283	313	367755	635	191338
282	300	368055	526	191864
281	282	368337	559	192423
280	327	368664	636	193059
279	319	368983	583	193642
278	338	369321	610	194252
277	309	369630	571	194823
276	269	369899	519	195342
275	290	370189	556	195898
274	293	370482	563	196461
273	307	370789	563	197024
272	254	371043	579	197603
271	259	371302	553	198156
270	282	371584	581	198737
269	256	371840	571	199308
268	241	372081	592	199900
267	253	372334	565	200465
266	252	372586	518	200983
265	258	372844	597	201580
264	266	373110	590	202170
263	251	373361	534	202704
262	238	373599	584	203288
261	267	373866	598	203886
260	239	374105	631	204517
259	236	374341	568	205085
258	236	374577	608	205693
257	215	374792	632	206325
256	212	375004	620	206945
255	187	375191	597	207542
254	221	375412	621	208163
253	216	375628	640	208803
252	197	375825	621	209424
251	208	376033	593	210017
250	199	376232	644	210661
249	230	376462	662	211323
248	192	376654	603	211926
247	204	376858	589	212515
246	197	377055	598	213113
245	178	377233	627	213740
