,日期,平均涨幅,平均市净率,累乘净值
0,20150701,0.9335337385754523,5.82993534137267,4.59184436433548
0,20150702,0.9201150385387431,5.510788240239786,4.22502505425445
0,20150703,0.9208985753040576,5.169800598760976,3.890819553086872
0,20150706,0.9474884520880728,4.8136127949838325,3.686506595708287
0,20150707,0.9097814940598209,4.373062999042239,3.3539154785048697
0,20150708,0.9278852379194834,4.08980396085368,3.1120486617343293
0,20150709,1.0990863291484305,4.335200657958835,3.4204101397568696
0,20150710,1.0980751168533325,4.696153663599198,3.755867263899848
0,20150713,1.0930024777487959,5.33681682378206,4.105172225538125
0,20150714,1.043465164011084,5.365381995993947,4.283604209614886
0,20150715,0.9378367254343766,4.820516146894125,4.017321345002135
0,20150716,1.019733279452993,4.788816096915428,4.096596269755536
0,20150717,1.0744255681972927,4.970756838328776,4.401487774807002
0,20150720,1.0297821541085799,5.255268759065186,4.532573562023335
0,20150721,1.0284767258807572,5.434456763959124,4.661646416883441
0,20150722,1.0180878164022933,5.445546866425308,4.745965421404437
0,20150723,1.045095581740156,5.636659305240613,4.959987493001334
0,20150724,0.9865000992817796,5.364530654824029,4.893028154282201
0,20150727,0.9099313351666765,5.098145717881556,4.452319641434142
0,20150728,0.9576174744042839,4.558389769612533,4.26361909027075
0,20150729,1.0654740906523366,4.627964036739066,4.54277567309417
0,20150730,0.9680544780803007,4.2833995713133595,4.3976543332530635
0,20150731,0.9831573176029265,4.058063805719869,4.323586038025968
0,20150803,0.9537463563502112,3.921555348517005,4.123604430133913
0,20150804,1.0729358602383385,4.176879817338589,4.424363066528353
0,20150805,0.9949736137643812,4.331647850898248,4.402124508909375
0,20150806,0.9958736215570891,4.559260129245367,4.383959677232801
0,20150807,1.042723040527165,4.784671721113074,4.571255764192675
0,20150810,1.0619868977963134,4.969657722046432,4.854613728048495
0,20150811,1.0106577973662596,5.25284114484583,4.906353217453498
0,20150812,0.9880831318709422,4.864849799136103,4.847884853166526
0,20150813,1.0330152928167426,5.263061665140927,5.00793919113567
0,20150814,1.0106970316047112,5.57075103238256,5.061509274937721
0,20150817,1.0187522133925069,5.976028273916048,5.156423776949506
0,20150818,0.9128306842314802,5.333260760433174,4.706941844500291
0,20150819,1.0291331215913817,5.526963032472134,4.84406975357968
0,20150820,0.9607780548646914,5.617522648266576,4.65407591547317
0,20150821,0.9328784192318251,4.948140591757369,4.34168698301152
0,20150824,0.9018787298467965,4.418468190535674,3.9156751416307998
0,20150825,0.9058863931557773,3.9156844559122606,3.5471568308216628
0,20150826,0.9565648406419551,3.6614718874287457,3.3930855086069465
0,20150827,1.0479778916681237,3.82104527385734,3.555878597559571
0,20150828,1.078205866520016,4.068893729827343,3.833969164521697
0,20150831,0.9542856208137968,3.8610744898127467,3.658701644346541
0,20150901,0.9257845598510483,3.360066125980091,3.3871694914376693
0,20150902,0.9612522137364204,3.264503934688358,3.2559241719449252
0,20150907,1.018762812090361,3.358796532972437,3.3170144653635916
0,20150908,1.061669094396294,3.6789690627086205,3.5215717435419718
0,20150909,1.0482307443699745,3.941457787658983,3.69141977008527
0,20150910,0.979520083785666,3.884577412986448,3.6158198024819876
0,20150911,1.0142417667134107,3.893842044058998,3.667315464586667
0,20150914,0.9152580532549235,3.4277781347417733,3.356540012789268
0,20150915,0.9315504120940438,3.344499016605202,3.12678623212399
0,20150916,1.090021409976942,3.6645924547623094,3.4082639374362818
0,20150917,0.9795279431226933,3.7082864098443205,3.338489764256213
0,20150918,1.0184637153267329,3.666132954702987,3.4001306888846514
0,20150921,1.0477642672729466,3.8153978345721153,3.562535439871486
0,20150922,1.0102228857502678,3.8823517647570394,3.598954832654572
0,20150923,0.9885630004737809,3.8179638334105497,3.5577935879386176
0,20150924,1.0197622382794873,3.9298324105508415,3.628103552572693
0,20150925,0.956658690536606,3.9434772931685402,3.4708567937354005
0,20150928,1.0291190412376812,3.8526364455001882,3.5719248158422676
0,20150929,0.9792839865080075,3.7733411871766074,3.4979287731648965
